CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
C10011,1293.124939,1,920.12,0,920.12,0,1,0,1,0,0,12,1200,1083.301007,2172.697765,0,12,1,CASH_OUT,35063.63,C1635772897,35063.63,0,C1983025922,31140,7550.03,1
C10012,630.794744,0.818182,1492.18,1492.18,0,0,0.25,0.25,0,0,0,6,2000,705.618627,155.549069,0,12,1,TRANSFER,25071.46,C669700766,25071.46,0,C1384210339,0,0,1
C10013,1516.92862,1,3217.99,2500.23,717.76,0,1,0.25,0.916667,0,0,26,3000,608.263689,490.207013,0.25,12,1,CASH_OUT,25071.46,C1275464847,25071.46,0,C1364913072,9083.76,34155.22,1
C10014,921.693369,1,2137.93,419.96,1717.97,0,0.75,0.166667,0.75,0,0,26,7500,1655.891435,251.137986,0.083333,12,1,CASH_OUT,132842.64,C13692003,4499.08,0,C297927961,0,132842.64,1
C10015,2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,12,1,TRANSFER,235238.66,C1872047468,235238.66,0,C116289363,0,0,1
C10016,6886.213231,1,1611.7,0,1611.7,2301.491267,0.5,0,0.5,0.166667,4,11,8000,1993.439277,2109.90649,0,12,1,CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,1
C10017,2072.074354,0.875,0,0,0,2784.274703,0,0,0,0.25,3,0,3000,391.974562,376.579631,0,8,2,TRANSFER,1096187.24,C1093223281,1096187.24,0,C2063275841,0,0,1
C10018,41.089489,0.454545,519,0,519,0,0.416667,0,0.333333,0,0,8,2500,254.590662,73.203221,0.25,12,2,CASH_OUT,1096187.24,C77163673,1096187.24,0,C644345897,0,1096187.24,1
C10019,1989.072228,1,504.35,166,338.35,0,0.666667,0.083333,0.583333,0,0,9,13000,1720.837373,744.613395,0,12,2,TRANSFER,963532.14,C1440057381,963532.14,0,C268086000,0,0,1
C10020,3577.970933,1,398.64,0,398.64,0,1,0,1,0,0,12,4000,1053.980464,12465.54938,0,12,2,CASH_OUT,963532.14,C430329518,963532.14,0,C991505714,132382.57,1095914.71,1
C10021,2016.684686,1,176.68,0,176.68,0,0.666667,0,0.666667,0,0,8,2000,223.0686,13557.29726,0,12,2,TRANSFER,14949.84,C140702728,14949.84,0,C634210724,0,0,1
C10022,6369.531318,1,6359.95,5910.04,449.91,229.028245,1,0.916667,1,0.333333,6,92,11250,2077.959051,1659.775075,0,12,2,CASH_OUT,14949.84,C395257482,14949.84,0,C1032986144,18161.79,33111.63,1
C10023,132.34224,0.636364,815.9,0,815.9,0,1,0,1,0,0,17,1800,2359.629958,86.329554,0,12,2,TRANSFER,18627.02,C1375503918,18627.02,0,C234430897,0,0,1
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1,0.083333,0.916667,0.333333,13,13,9000,9479.043842,1425.426525,0,12,2,CASH_OUT,18627.02,C175961135,18627.02,0,C1711105800,147251.58,165878.6,1
C10025,5368.571219,1,0,0,0,798.949863,0,0,0,0.363636,4,0,6000,1422.726707,1657.002877,0,11,3,TRANSFER,10539.37,C1134864869,10539.37,0,C118648358,0,0,1
C10026,169.781679,1,399.6,0,399.6,0,1,0,1,0,0,12,3000,215.306142,163.005536,0,12,3,CASH_OUT,10539.37,C1984954272,10539.37,0,C124540047,0,10539.37,1
C10027,1615.96724,1,102,102,0,244.840485,0.166667,0.166667,0,0.25,5,2,1700,890.178845,971.183209,0,12,3,TRANSFER,22877,C1247938090,22877,0,C1002031672,0,0,1
C10028,125.694817,1,233.28,0,233.28,0,1,0,1,0,0,12,1000,207.773715,164.748819,0,12,3,CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,1
C10029,7152.864372,1,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500,1601.448347,1648.851345,0,12,4,TRANSFER,1.00E+07,C7162498,1.29E+07,2930418.44,C945327594,0,0,1
C10030,22.06349,1,100,0,100,0,0.416667,0,0.416667,0,0,5,6900,160.767773,159.684442,0,12,4,CASH_OUT,1.00E+07,C351297720,1.00E+07,0,C766681183,0,9941904.21,1
C10031,12136.21996,1,3038.01,1013.2,2024.81,3183.583301,1,0.166667,1,0.5,10,64,13000,4230.323491,3292.01503,0,12,4,TRANSFER,2930418.44,C2047521920,2930418.44,0,C449261773,0,0,1
C10032,1162.273324,1,1347.71,400,947.71,175.815755,1,0.083333,1,0.166667,2,45,6000,645.998299,256.848991,0,12,4,CASH_OUT,2930418.44,C2044690596,2930418.44,0,C932583850,3616012.1,6963508.84,1
C10033,6732.823064,1,324.95,324.95,0,1189.533753,0.083333,0.083333,0,0.166667,3,3,10500,1720.118876,2506.745366,0,12,4,TRANSFER,169941.73,C540962910,169941.73,0,C2127862399,0,0,1
C10034,125.660453,1,636.79,636.79,0,0,0.916667,0.916667,0,0,0,11,1200,423.449696,196.301885,0.3,12,4,CASH_OUT,169941.73,C2026325575,169941.73,0,C1394526584,0,169941.73,1
C10035,3517.101616,0.727273,547.28,0,547.28,0,1,0,1,0,0,14,11000,8735.607835,17862.55831,0,12,4,TRANSFER,13707.11,C17222024,13707.11,0,C410033330,0,0,1
C10036,1656.350781,1,0,0,0,99.264367,0,0,0,0.083333,1,0,1800,351.500199,634.569311,0,12,4,CASH_OUT,13707.11,C556223230,13707.11,0,C2094777811,0,13707.11,1
C10037,7427.076941,1,0,0,0,8873.375046,0,0,0,0.727273,11,0,9000,1636.361601,1986.843608,0,11,4,TRANSFER,86070.17,C1844941220,86070.17,0,C1191544932,0,0,1
C10038,4047.480828,1,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000,1617.894416,1541.141605,0,12,4,CASH_OUT,86070.17,C1699873763,86070.17,0,C560041895,0,86070.17,1
C10039,6269.418144,1,204,204,0,2925.699862,0.083333,0.083333,0,0.333333,12,2,9000,1237.111661,2049.408839,0,12,5,TRANSFER,120074.73,C1409933277,120074.73,0,C162114152,0,0,1
C10040,1411.60223,0.454545,963.24,963.24,0,6173.682877,0.083333,0.083333,0,0.333333,6,6,7500,20071.07544,719.948985,0.333333,12,5,CASH_OUT,120074.73,C1174000532,120074.73,0,C410033330,0,120074.73,1
C10041,663.44781,0.727273,0,0,0,3133.063934,0,0,0,0.25,3,0,1800,3067.05783,283.333445,0.166667,12,5,TRANSFER,60726.57,C383882703,60726.57,0,C1807010830,0,0,1
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000,1262.309666,363.142736,0.111111,12,5,CASH_OUT,60726.57,C840095827,60726.57,0,C803116137,1.30E+07,1.31E+07,1
C10044,4104.710798,1,203.82,203.82,0,0,0.083333,0.083333,0,0,0,1,4500,868.275275,1801.264841,0,12,5,TRANSFER,10119.47,C1775746074,10119.47,0,C746009679,0,0,1
C10045,1360.742377,1,0,0,0,1481.587093,0,0,0,0.083333,1,0,1500,378.294227,321.354137,0,12,5,CASH_OUT,10119.47,C213063852,10119.47,0,C922511709,0,10119.47,1
C10046,5315.945594,1,1525.44,469.8,1055.64,0,1,0.333333,1,0,0,20,8500,1430.341501,1318.71492,0,12,6,TRANSFER,33332.86,C2025652936,33332.86,0,C1662235713,0,0,1
C10047,2242.311686,1,437,97,340,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400,0,,0,12,6,CASH_OUT,33332.86,C685428529,33332.86,0,C1626759869,31002,0,1
C10048,474.447149,0.5,109.74,0,109.74,1013.659552,0.375,0,0.25,0.125,1,3,1700,176.013005,147.199792,0,8,6,TRANSFER,25975.86,C864622150,25975.86,0,C41792607,0,0,1
C10049,3910.111237,1,0,0,0,1980.873201,0,0,0,0.5,7,0,4200,0,,0,12,6,CASH_OUT,25975.86,C1004271827,25975.86,0,C451934410,98152,28041.27,1
C10050,229.867179,1,2390.6,1402.93,987.67,0,1,0.666667,1,0,0,87,3300,2543.953559,175.657825,0.916667,12,6,TRANSFER,26768.5,C457596841,26768.5,0,C1956477953,0,0,1
C10051,863.809833,1,507.5,507.5,0,695.097159,0.166667,0.166667,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,12,6,CASH_OUT,26768.5,C682812632,26768.5,0,C256417920,101976,128744.5,1
C10052,4931.331857,1,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000,8113.297346,1012.415961,0,8,6,TRANSFER,30521.02,C903383636,30521.02,0,C904300960,0,0,1
C10053,1078.888565,1,3107.85,2221.74,886.11,0,0.666667,0.583333,0.5,0,0,18,2500,1399.82834,1322.446601,0,12,6,CASH_OUT,30521.02,C1813769162,30521.02,0,C1249547869,0,30521.02,1
C10054,1565.681099,1,0,0,0,321.359135,0,0,0,0.25,3,0,3500,691.825279,581.481917,0,12,6,TRANSFER,216422,C666642000,216422,0,C1315078366,0,0,1
C10055,464.674156,0.888889,1979.22,1979.22,0,1981.265503,0.666667,0.666667,0,0.111111,1,11,3000,3110.052742,132.446091,0.2,9,6,CASH_OUT,216422,C1547714604,216422,0,C7881234,10097,48630.5,1
C10056,6.660517,0.636364,310,0,310,0,0.666667,0,0.666667,0,0,8,1000,417.016763,,0,12,6,TRANSFER,17320.91,C788790720,17320.91,0,C1589547066,0,0,1
C10057,1311.995984,1,1283.9,1283.9,0,0,0.25,0.25,0,0,0,6,6000,0,,0,12,6,CASH_OUT,17320.91,C436661284,17320.91,0,C522173599,6244.44,0,1
C10058,3625.218146,1,313.27,313.27,0,668.468743,0.25,0.25,0,0.416667,5,4,4000,0,,0,12,6,TRANSFER,17246,C1034673425,17246,0,C1379589736,0,101717.84,1
C10059,2386.330629,1,5217.62,4789.09,428.53,0,0.916667,0.916667,0.5,0,0,42,7500,5678.729613,1311.514878,0.083333,12,6,CASH_OUT,17246,C1484518113,17246,0,C978609035,0,17246,1
C10060,3971.138765,1,0,0,0,224.575517,0,0,0,0.181818,3,0,4000,764.938728,1600.212243,0,11,6,TRANSFER,10565,C777407608,10565,0,C1790657739,0,0,1
C10061,5493.90406,1,229,0,229,970.591332,0.416667,0,0.333333,0.333333,4,6,6000,2110.557023,1895.02617,0,12,6,CASH_OUT,10565,C1191732945,10565,0,C418964192,36275,24380.72,1
C10062,1879.114033,0.727273,113,113,0,0,0.166667,0.166667,0,0,0,2,6500,3509.686561,548.105836,0,12,6,TRANSFER,10224,C365589282,10224,0,C908043384,0,0,1
C10063,1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,12,6,CASH_OUT,10224,C1284098442,10224,0,C801412408,0,10224,1
C10064,809.582978,0.909091,0,0,0,3819.672466,0,0,0,0.545455,7,0,4150,4372.148648,241.645387,0.090909,11,6,TRANSFER,85354.69,C558400671,85354.69,0,C527482085,0,0,1
C10065,7.152356,0.090909,840,840,0,0,0.083333,0.083333,0,0,0,1,1600,0,,0,12,6,CASH_OUT,85354.69,C158801009,85354.69,0,C382431057,11170,10612.55,1
C10067,1923.886805,1,1887.64,0,1887.64,1605.949371,1,0,1,0.083333,4,61,1850,3688.045998,3266.996777,0.083333,12,6,TRANSFER,13704,C1735554279,13704,0,C12793273,0,1658746.09,1
C10068,1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,12,6,CASH_OUT,13704,C1421965867,13704,0,C1438594533,3382.84,143675.35,1
C10069,809.847455,0.875,0,0,0,908.423608,0,0,0,0.125,1,0,1500,146.074769,179.412493,0,8,7,TRANSFER,262434.54,C2101686389,262434.54,0,C612008977,0,0,1
C10070,1576.305029,1,0,0,0,382.908547,0,0,0,0.416667,6,0,2500,540.022225,352.883804,0,12,7,CASH_OUT,262434.54,C383717053,262434.54,0,C380242442,19525.79,438233.86,1
C10071,3990.523579,1,263.5,190.6,72.9,0,0.666667,0.083333,0.583333,0,0,8,6000,6876.836205,1001.607366,0.083333,12,7,TRANSFER,21729,C1686905633,21729,0,C824421402,0,0,1
C10072,1699.435486,1,1363.69,1363.69,0,0,0.333333,0.333333,0,0,0,4,1700,1623.816348,923.505868,0,12,7,CASH_OUT,21729,C693427358,21729,0,C1101441872,27335,0,1
C10073,5487.683724,1,419.1,0,419.1,625.399386,0.916667,0,0.833333,0.333333,4,11,6250,1288.214909,2180.881868,0,12,7,TRANSFER,5460002.91,C666654362,5460002.91,0,C1726301214,0,0,1
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000,28232.69446,1107.030803,0.454545,12,7,CASH_OUT,5460002.91,C1588880909,5460002.91,0,C1570256460,0,9281535.44,1
C10075,656.01301,1,0,0,0,1474.349901,0,0,0,0.125,3,0,7000,910.457985,140.983193,0.25,8,7,TRANSFER,164,C1455969984,164,0,C2119910556,0,0,1
C10077,1808.972419,1,713.9,503.08,210.82,0,0.5,0.1,0.4,0,0,8,2250,889.017418,622.757696,0,10,7,CASH_OUT,164,C1173659886,164,0,C1769947269,4068,0,1
C10078,532.334517,0.909091,791.94,516.64,275.3,0,0.272727,0.090909,0.181818,0,0,7,6000,1305.177304,175.510344,0,11,7,TRANSFER,21571,C786114805,21571,0,C1666314150,0,0,1
C10079,5860.433624,1,561.87,249.5,312.37,0,0.833333,0.166667,0.75,0,0,14,6000,1990.044998,2161.428274,0,12,7,CASH_OUT,21571,C452475723,21571,0,C2089016471,30797.41,71140.3,1
C10080,1727.638449,1,606.11,606.11,0,0,1,1,0,0,0,17,11000,2959.920544,623.656993,0,12,7,TRANSFER,441445.58,C1023505879,441445.58,0,C847761155,0,0,1
C10081,578.809679,1,320,0,320,0,0.75,0,0.666667,0,0,8,1500,1438.910569,190.186542,0,12,7,CASH_OUT,441445.58,C398085606,441445.58,0,C2072030256,98993.5,0,1
C10082,1205.716678,1,0,0,0,38.325801,0,0,0,0.083333,1,0,1200,29.278671,8242.687678,0,12,8,CASH_OUT,181728.11,C2102265902,0,0,C789014007,11397,184477.77,1
C10083,6593.820644,1,388.66,388.66,0,4621.93458,0.583333,0.583333,0,0.416667,7,7,7000,1624.583114,2503.40234,0,12,8,TRANSFER,222,C1961506277,222,0,C378841819,0,267095.19,1
C10084,17.357563,0.909091,244.85,40.21,204.64,0,0.666667,0.166667,0.583333,0,0,13,5000,357.802082,121.523416,0.181818,12,8,CASH_OUT,222,C1737727444,222,0,C588779235,24708,171647.35,1
C10085,81.584711,0.272727,0,0,0,2985.300006,0,0,0,0.166667,5,0,9500,116.569033,164.692136,0,12,8,TRANSFER,1996.17,C1198040187,1996.17,0,C1828047633,0,0,1
C10086,3.78631,0.636364,133.05,28.2,104.85,0,0.416667,0.166667,0.25,0,0,5,12000,210.053432,99.533735,0.444444,12,8,CASH_OUT,1996.17,C858959216,1996.17,0,C864078397,2559.74,4555.92,1
C10087,42.46443,0.545455,396,0,396,0,0.5,0,0.416667,0,0,12,1200,725.606194,140.809454,1,12,8,TRANSFER,1078013.76,C1026280121,0,0,C277510102,0,970749.68,1
C10088,1935.362486,1,4915.6,4515.34,400.26,293.844792,1,1,0.333333,0.083333,1,50,9000,4921.066897,594.756686,0,12,8,TRANSFER,89631.24,C74534388,89631.24,0,C1748042844,0,0,1
C10089,134.917202,1,1247.8,1247.8,0,0,1,1,0,0,0,22,16500,1275.229436,171.357189,1,12,8,CASH_OUT,89631.24,C1938531779,89631.24,0,C2048578791,21175,0,1
C10090,7069.950386,1,1603.78,1445.14,158.64,5626.004046,1,0.833333,1,0.75,23,23,11000,4589.873897,1876.262988,0,12,8,TRANSFER,29707.86,C1825456600,29707.86,0,C570409417,0,0,1
C10092,8181.251131,1,2258.01,1318.78,939.23,5251.228934,1,0.75,1,0.75,21,60,13500,3021.575846,2074.581541,0,12,8,CASH_OUT,29707.86,C515973302,29707.86,0,C170071280,10935,0,1
C10093,4037.305658,1,45,45,0,104.238064,0.083333,0.083333,0,0.083333,1,1,4500,1073.844885,968.941265,0,12,8,TRANSFER,43092,C1683174795,43092,0,C427998326,0,0,1
C10094,6110.265264,1,0,0,0,2717.253917,0,0,0,0.416667,14,0,6500,1502.205631,2864.380327,0,12,8,CASH_OUT,43092,C1395071924,43092,0,C79685693,660641.74,1158662.9,1
C10095,9381.255094,1,5100.07,1147.83,3952.24,370.737197,1,0.25,0.916667,0.083333,1,46,9000,6409.496345,9827.045323,0,12,9,TRANSFER,556218.01,C1769581889,556218.01,0,C217441120,0,0,1
C10096,1977.00709,1,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000,3056.424974,910.707525,0.090909,11,9,CASH_OUT,556218.01,C589143360,556218.01,0,C1992550266,0,582265.81,1
C10097,1321.47608,1,45.65,45.65,0,495.657934,0.083333,0.083333,0,0.083333,1,1,1800,440.840439,312.560636,0,12,9,TRANSFER,11308,C299933576,11308,0,C1060999444,0,0,1
C10098,1307.717841,1,405.6,405.6,0,0,0.166667,0.166667,0,0,0,2,2400,0,,0,12,9,CASH_OUT,11308,C921533797,11308,0,C424669538,0,302550.56,1
C10099,2329.485768,1,213.34,213.34,0,0,0.25,0.25,0,0,0,3,2400,0,,0,12,9,TRANSFER,350705.74,C1452168793,350705.74,0,C399194578,0,1184633.07,1
C10100,1139.782882,1,0,0,0,120.612912,0,0,0,0.083333,1,0,1200,151.823651,2906.110765,0,12,9,CASH_OUT,350705.74,C58527359,350705.74,0,C582901057,894760.68,1794033.65,1
C10101,1619.955708,1,739.44,739.44,0,0,0.666667,0.666667,0,0,0,11,6000,417.128532,389.138517,0,12,9,TRANSFER,2539898.07,C394488466,2539898.07,0,C575638324,0,261290.69,1
C10102,3505.671311,1,0,0,0,1713.984305,0,0,0,0.5,6,0,4000,0,,0,12,9,CASH_OUT,2539898.07,C728718059,2539898.07,0,C1013511446,968,1842864.22,1
C10103,4.708041,0.363636,79,0,79,0,0.25,0,0.166667,0,0,3,7000,217.820198,121.781205,1,12,9,TRANSFER,361559.69,C1287719145,361559.69,0,C352239275,0,141302.12,1
C10104,0,0,0,0,0,89.849004,0,0,0,0.142857,1,0,3000,138.021428,,0,7,9,CASH_OUT,361559.69,C684758020,361559.69,0,C1769042905,504667.31,189441.24,1
C10105,4.875885,0.666667,20,20,0,0,0.111111,0.111111,0,0,0,1,1500,26.487919,60.913577,0,9,9,TRANSFER,1154353.99,C670587931,1154353.99,0,C150406565,0,10872.9,1
C10106,23.394411,0.272727,1346.28,0,1346.28,0,1,0,1,0,0,12,2000,712.149153,54.79166,0,12,9,CASH_OUT,1154353.99,C1034219836,1154353.99,0,C1195589213,162222,1965587.6,1
C10107,3539.801912,1,2823.8,1540.41,1283.39,0,0.916667,0.916667,0.833333,0,0,75,5700,9172.788366,2103.796148,0.083333,12,9,TRANSFER,21922,C102617052,21922,0,C760675871,0,0,1
C10108,0.62424,0.090909,389.96,0,389.96,0,1,0,1,0,0,31,4500,0,,0,12,9,CASH_OUT,21922,C1499032143,21922,0,C1508330669,1929861.61,2046918.8,1
C10109,862.07238,1,0,0,0,920.309805,0,0,0,0.083333,1,0,4000,2236.890255,214.828158,0.083333,12,9,TRANSFER,994453.2,C1121789613,1437370.87,442917.67,C254839817,194812.76,665743.67,1
C10110,2441.542991,1,808,808,0,959.857263,0.25,0.25,0,0.333333,6,4,4000,532.741699,1026.976,0,12,9,TRANSFER,1055,C666486325,1055,0,C279565067,0,0,1
C10111,408.656365,1,941.64,0,941.64,0,1,0,1,0,0,12,2500,1097.78942,176.610605,0.083333,12,9,CASH_OUT,1055,C1764109750,1055,0,C1522743169,75179,0,1
C10112,4986.400804,1,0,0,0,5439.467563,0,0,0,0.583333,40,0,8000,1241.538024,1439.230899,0,12,9,TRANSFER,244068.01,C1087133093,244068.01,0,C1855553543,0,0,1
C10113,1246.624558,1,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000,577.050373,498.365419,0,12,9,CASH_OUT,244068.01,C507466068,244068.01,0,C706331499,0,338538.16,1
C10114,6644.201651,1,4478.75,2721.59,1757.16,7205.520805,1,0.916667,1,0.583333,21,64,9000,10857.94321,2469.571326,0.083333,12,10,TRANSFER,59835,C1568400442,59835,0,C1262169546,0,0,1
C10115,156.216753,0.818182,1354.86,585.63,769.23,0,0.916667,0.333333,0.833333,0,0,34,5500,858.976682,108.319927,0,12,10,CASH_OUT,59835,C1020461364,59835,0,C2144015041,255480.76,315315.76,1
C10116,3393.351236,1,0,0,0,1008.348672,0,0,0,0.083333,2,0,4200,0,,0,12,10,CASH_OUT,277970.88,C489647033,0,0,C571514738,0,277970.88,1
C10117,5322.994094,1,2812.2,857.12,1955.08,2510.352951,1,0.25,1,0.333333,8,81,8500,1509.423237,1834.031569,0,12,10,TRANSFER,93810.76,C481501970,93810.76,0,C1262577882,0,0,1
C10118,6458.56209,1,0,0,0,3360.228794,0,0,0,0.25,11,0,7000,1277.76778,2760.115734,0,12,10,CASH_OUT,93810.76,C1190429229,93810.76,0,C2104652067,4096048.05,4189858.81,1
C10119,175.341651,0.818182,1508.9,1252.36,256.54,0,0.666667,0.416667,0.333333,0,0,14,5000,1884.227778,136.639824,1,12,10,TRANSFER,503405.88,C1446009472,503405.88,0,C2010733400,0,0,1
C10120,680.195157,1,1045.57,667.95,377.62,0,1,0.583333,1,0,0,25,3000,552.432305,207.720441,0,12,10,CASH_OUT,503405.88,C140359285,503405.88,0,C2020337583,29669,533074.88,1
C10121,223.763616,0.636364,2309.78,0,2309.78,0,0.583333,0,0.5,0,0,12,6500,1206.81188,99.372848,0.333333,12,10,TRANSFER,2662734.59,C1182702586,2662734.59,0,C2143409210,0,0,1
C10122,1785.626943,1,0,0,0,576.206382,0,0,0,0.25,10,0,1800,687.691735,2439.136113,0,12,10,CASH_OUT,2662734.59,C813115168,2662734.59,0,C401825929,14165.62,2930405.33,1
C10123,54.933231,0.272727,495,0,495,0,0.166667,0,0.166667,0,0,2,7000,1969.845566,147.049952,1,12,10,TRANSFER,9217.19,C184586799,9217.19,0,C812377986,0,96795.6,1
C10124,2662.629852,1,0,0,0,509.023801,0,0,0,0.333333,4,0,3000,932.418855,709.207016,0,12,10,CASH_OUT,9217.19,C1105700111,9217.19,0,C1767952032,0,9217.19,1
C10125,8504.876253,1,6724.26,4100.08,2624.18,1686.599777,1,0.916667,1,0.5,10,85,17000,1888.756861,2167.446204,0,12,11,TRANSFER,2100,C785601242,2100,0,C1576053316,0,0,1
C10126,1464.324632,1,1174.39,1174.39,0,0,0.25,0.25,0,0,0,8,9000,0,,0,12,11,CASH_OUT,2100,C169099320,2100,0,C697156329,112512.48,114612.48,1
C10127,2114.158683,1,5580.85,0,5580.85,0,1,0,1,0,0,75,8500,3564.977774,630.00413,0,12,11,TRANSFER,1933920.8,C1706582969,0,0,C461905695,1283762.85,3217683.65,1
C10128,2876.396444,1,0,0,0,998.84867,0,0,0,0.166667,2,0,3200,1065.426905,1412.648089,0,12,11,TRANSFER,313418.28,C711446907,313418.28,0,C888769567,0,97980.88,1
C10130,14224.11541,1,0,0,0,4614.427403,0,0,0,0.333333,9,0,19000,3066.614272,3406.258999,0,12,11,CASH_OUT,313418.28,C2021456831,313418.28,0,C157591472,688164.64,1029922.17,1
C10131,2392.917738,1,12462.44,12462.44,0,0,0.916667,0.916667,0,0,0,217,2800,11628.71557,2000.990921,0,12,11,TRANSFER,12461,C2079232448,12461,0,C585834595,0,0,1
C10132,57.453201,0.75,0,0,0,272.713302,0,0,0,0.125,1,0,1200,385.853874,84.697292,0.166667,8,11,CASH_OUT,12461,C938980312,12461,0,C621014131,27964.11,40425.11,1
C10133,4245.855092,1,1957.3,1077.3,880,0,0.833333,0.166667,0.583333,0,0,19,5000,1004.35474,1086.428906,0,12,12,TRANSFER,19472,C1101705841,19472,0,C925285469,0,0,1
C10134,11167.23403,1,150.64,150.64,0,8362.154254,0.083333,0.083333,0,0.5,14,1,17000,2606.059389,2894.077159,0,12,12,CASH_OUT,19472,C1205151454,19472,0,C664770316,0,19472,1
C10135,69.405545,0.090909,0,0,0,2799.714934,0,0,0,0.083333,3,0,13000,0,,0,12,12,TRANSFER,3964129.99,C576568419,3964129.99,0,C1571546632,0,0,1
C10136,116.654149,0.272727,907,907,0,273.558033,0.25,0.25,0,0.083333,1,8,5000,0,,0,12,12,CASH_OUT,3964129.99,C1098250442,3964129.99,0,C1140712423,1912955.54,5811064.07,1
C10137,4637.848144,1,1271.12,351.54,919.58,0,0.833333,0.25,0.833333,0,0,33,5000,1906.032044,3572.279251,0,12,12,TRANSFER,1041647.06,C345293642,1041647.06,0,C937194908,0,0,1
C10138,24.28497,0.636364,250.6,0,250.6,0,0.583333,0,0.5,0,0,7,3000,319.762903,173.632006,0,12,12,CASH_OUT,1041647.06,C169939918,1041647.06,0,C1673501963,52730.33,1094377.39,1
