product_id,product_category_name,month_year,qty,unit_price,freight_price,total_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
555185,beauty,2023-12-14,8,641.82,119.91,5134.56,10,172,1,3990,4.5,19,3,0,1,12,2023,0.464,4004,651.31,0.41,93.85,725.4,0.96,170.33,614.26,0.85,118.71,627.8
141072,sports,2023-06-22,16,38.82,8.85,621.12,15,53,5,4814,2.8,15,3,0,0,6,2023,0.685,5662,44.48,0.29,6.45,36.9,0.57,3.06,46.34,0.32,7.31,39.68
762915,sports,2023-07-10,8,574.71,63.13,4597.68,9,50,2,1484,1.2,23,0,0,0,7,2023,0.333,1837,508.78,0.4,75.63,495.16,0.7,115.64,541.88,0.64,130.69,541.67
540867,kitchen,2023-06-08,17,134.82,33.01,2291.94,12,111,2,4268,1.3,78,3,0,0,6,2023,0.195,6245,142.02,0.09,16.74,118.25,0.98,22.59,152.49,0.15,28.41,145.88
513738,electronics,2023-07-28,4,81.04,17.74,324.16,23,199,5,1144,3.4,75,4,0,0,7,2023,0.313,3571,86.05,0.84,13.23,71.0,0.67,16.15,96.24,0.13,23.34,76.34
579187,fashion,2023-01-10,8,166.08,29.92,1328.64,6,117,4,4048,4.7,12,1,0,0,1,2023,0.875,3206,155.47,0.92,9.56,167.85,0.87,20.03,170.21,0.33,18.22,158.45
293945,electronics,2022-04-04,15,746.26,95.81,11193.9,20,82,3,2789,2.6,44,0,0,0,4,2022,0.99,6927,647.28,0.68,106.18,656.07,0.24,146.13,686.36,0.28,114.28,717.03
638170,beauty,2023-09-06,3,677.15,130.16,2031.45,6,85,2,3029,3.6,75,2,0,0,9,2023,0.264,3895,702.42,0.44,104.83,673.38,0.23,97.88,786.6,0.98,127.21,630.8
770682,beauty,2022-11-25,7,855.43,182.41,5988.01,14,208,3,665,3.2,60,4,0,0,11,2022,0.165,815,880.91,0.61,118.14,936.05,0.44,82.31,847.58,0.02,131.14,940.82
414708,furniture,2023-01-01,15,881.71,97.57,13225.65,18,119,4,4407,4.6,49,6,1,0,1,2023,0.071,1925,951.16,0.55,109.19,1020.98,0.88,254.55,917.37,0.55,210.52,919.97
218039,fashion,2022-09-28,12,807.16,200.63,9685.92,24,104,1,1465,4.3,48,2,0,1,9,2022,0.754,4239,746.24,0.05,130.11,748.64,0.04,179.39,699.94,0.85,108.87,774.94
448152,fashion,2022-05-14,15,145.65,33.75,2184.75,10,197,1,3030,1.8,26,5,1,0,5,2022,0.528,1765,132.96,0.39,19.54,168.49,0.44,12.63,141.55,0.03,14.54,159.43
278725,toys,2023-11-08,10,794.19,116.83,7941.9,6,104,2,914,3.7,74,2,0,0,11,2023,0.556,1321,946.89,0.66,66.44,946.94,0.82,133.74,829.6,0.55,157.95,815.6
436544,kitchen,2023-07-25,17,759.61,147.79,12913.37,20,102,3,4637,4.4,7,1,0,0,7,2023,0.045,2217,675.89,0.85,84.41,812.02,0.18,200.76,829.91,0.38,85.46,800.53
664141,beauty,2023-04-16,17,787.84,121.96,13393.28,22,192,5,1668,4.7,69,6,1,0,4,2023,0.081,3668,945.24,0.36,61.73,872.95,0.62,139.4,931.94,0.22,62.13,763.21
202055,kitchen,2022-10-21,19,161.97,32.75,3077.43,16,95,2,3837,3.4,69,4,0,0,10,2022,0.915,830,178.49,0.82,22.46,165.06,0.07,24.66,170.75,0.24,28.64,152.79
772542,sports,2023-08-24,3,131.61,28.35,394.83,6,137,4,3850,1.7,21,3,0,0,8,2023,0.577,3742,140.86,0.76,22.05,115.32,0.01,10.27,124.37,0.81,9.64,130.29
302152,kitchen,2023-02-03,12,833.71,45.56,10004.52,15,172,5,2796,3.2,41,4,0,0,2,2023,0.219,5145,807.8,0.93,103.56,988.76,0.32,132.4,871.23,0.46,168.01,819.82
905218,furniture,2022-11-20,3,181.23,11.93,543.69,12,66,3,691,3.7,70,6,1,0,11,2022,0.207,3302,209.09,0.99,24.74,214.0,0.81,32.02,158.54,0.05,21.82,198.79
759198,toys,2022-11-25,5,350.7,41.13,1753.5,14,49,5,1471,2.1,38,4,0,0,11,2022,0.241,4919,409.8,0.04,43.53,337.71,0.04,65.11,316.27,0.41,70.6,325.81
345327,sports,2022-06-15,6,426.71,99.65,2560.26,6,215,5,3098,4.9,24,2,0,0,6,2022,0.064,4549,470.52,0.44,59.45,391.94,0.36,54.87,415.25,0.82,54.38,395.57
606904,beauty,2022-03-09,13,138.26,17.93,1797.38,11,88,4,2725,1.9,6,2,0,0,3,2022,0.05,3574,151.87,0.77,9.7,120.69,0.73,21.36,118.6,0.69,15.33,141.61
199651,toys,2023-02-09,9,47.95,10.91,431.55,24,98,2,2965,4.6,35,3,0,0,2,2023,0.72,6824,49.03,0.82,12.2,49.11,0.37,3.45,42.02,0.95,5.71,48.54
189765,furniture,2023-10-11,17,894.86,127.51,15212.62,5,155,2,1322,2.7,22,2,0,0,10,2023,0.264,4359,785.01,0.08,126.44,1050.27,0.48,212.95,762.93,0.77,147.05,903.13
960441,electronics,2022-02-16,6,792.69,85.43,4756.14,23,43,5,2736,1.0,68,2,0,0,2,2022,0.384,5675,950.96,0.61,168.54,685.15,0.5,34.71,724.22,0.17,58.69,778.74
822187,sports,2023-09-19,12,823.73,189.56,9884.76,15,30,3,518,3.2,69,1,0,0,9,2023,0.537,4557,704.66,0.9,61.04,876.48,0.91,156.39,938.18,0.07,110.95,800.85
238980,fashion,2023-08-28,15,277.57,45.0,4163.55,16,115,1,2472,3.5,26,0,0,0,8,2023,0.32,6717,284.06,0.23,66.66,317.11,0.88,68.26,270.07,0.46,27.97,254.65
354420,kitchen,2022-07-22,19,221.49,27.04,4208.31,23,242,4,547,4.5,17,4,0,0,7,2022,0.479,3131,216.73,0.35,35.59,217.7,0.06,44.27,258.23,0.44,32.95,234.45
277900,furniture,2023-04-07,5,400.5,23.58,2002.5,9,152,2,3352,3.2,23,4,0,1,4,2023,0.865,1488,449.22,0.39,59.69,426.21,0.69,33.87,464.47,0.55,107.91,396.21
455644,fashion,2022-05-01,14,424.39,30.64,5941.46,24,153,5,2877,1.4,32,6,1,0,5,2022,0.244,1434,470.02,0.39,90.55,426.65,0.54,93.37,488.99,0.67,86.19,458.11
362196,fashion,2023-07-08,2,34.87,2.72,69.74,10,160,5,4273,4.7,53,5,1,0,7,2023,0.791,6953,37.3,0.56,4.14,30.44,0.35,2.0,32.23,0.25,4.86,34.84
395256,fashion,2023-05-27,11,707.95,87.05,7787.45,11,218,1,2364,3.3,13,5,1,0,5,2023,0.264,5630,620.28,0.06,146.96,726.75,0.49,45.98,686.6,0.99,52.05,765.09
576451,beauty,2022-09-16,8,897.1,153.82,7176.8,13,212,5,893,2.1,79,4,0,0,9,2022,0.187,2275,836.9,0.78,70.18,790.5,0.88,169.58,909.58,0.49,150.31,973.18
270148,sports,2022-02-19,19,489.96,54.64,9309.24,17,25,5,1252,4.6,56,5,1,0,2,2022,0.073,3243,432.61,0.12,93.71,533.93,0.77,46.19,490.48,0.71,102.88,495.76
894542,kitchen,2023-12-10,15,367.79,23.21,5516.85,11,144,4,4089,1.5,11,6,1,0,12,2023,0.684,432,438.64,0.81,106.73,352.54,0.57,49.15,322.91,0.41,39.46,389.67
754885,electronics,2022-11-22,18,371.69,38.27,6690.42,20,145,2,4795,1.4,25,1,0,0,11,2022,0.412,6680,332.56,0.02,49.33,420.34,0.18,99.76,347.01,0.68,80.01,342.25
784490,kitchen,2023-10-14,17,113.59,14.96,1931.03,5,71,4,401,3.1,56,5,1,0,10,2023,0.77,3166,135.0,0.79,30.42,119.89,0.62,11.01,121.21,0.98,14.58,104.89
252529,furniture,2023-05-10,8,261.56,64.99,2092.48,18,244,5,3414,3.5,40,2,0,0,5,2023,0.133,2815,232.64,0.36,14.96,307.92,0.5,63.47,284.26,0.15,23.34,272.04
737341,fashion,2023-07-23,14,466.86,60.04,6536.04,18,80,5,2462,3.0,42,6,1,0,7,2023,0.603,1874,537.72,0.66,93.63,517.38,0.45,86.34,456.42,0.44,98.38,424.92
852619,fashion,2023-07-09,1,405.71,27.52,405.71,15,211,3,1363,4.7,4,6,1,0,7,2023,0.013,759,426.45,0.18,51.71,447.78,0.94,58.72,387.03,0.7,63.13,422.87
257662,electronics,2022-05-23,11,504.18,83.81,5545.98,17,43,4,2606,2.1,33,0,0,0,5,2022,0.234,5382,575.32,0.54,70.69,482.31,0.99,68.41,531.97,0.86,81.58,477.02
776149,fashion,2022-09-23,1,768.69,179.82,768.69,19,158,2,4685,5.0,49,4,0,0,9,2022,0.61,1715,823.97,0.3,115.42,772.28,0.95,101.99,831.89,0.64,195.61,727.91
421914,furniture,2022-12-07,14,225.96,46.85,3163.44,23,189,2,1068,1.1,60,2,0,0,12,2022,0.056,791,252.87,0.0,42.82,251.03,0.74,54.09,248.29,0.23,53.37,219.64
808820,beauty,2022-12-30,19,54.07,11.75,1027.33,9,135,4,4201,1.5,36,4,0,0,12,2022,0.377,6853,59.79,0.73,10.36,59.62,0.6,12.69,61.31,0.65,15.24,58.66
530563,toys,2022-02-01,13,63.26,14.91,822.38,14,44,3,539,1.7,44,1,0,0,2,2022,0.562,3926,59.53,0.13,6.29,69.1,0.32,8.62,66.7,0.62,12.56,65.92
821987,electronics,2023-02-03,16,146.73,26.02,2347.68,16,48,2,3631,1.3,18,4,0,0,2,2023,0.728,724,172.74,0.94,21.9,125.13,0.95,23.71,144.18,0.04,23.92,154.11
232683,sports,2022-04-23,5,526.32,131.05,2631.6,11,159,4,467,2.8,64,5,1,1,4,2022,0.706,2167,565.94,0.54,56.54,450.56,0.46,70.46,511.46,0.61,80.69,556.12
450171,sports,2023-06-27,19,733.12,41.54,13929.28,24,218,2,397,4.5,56,1,0,0,6,2023,0.148,3964,675.01,0.0,119.14,640.46,0.2,127.86,631.96,0.53,76.59,781.74
346086,fashion,2023-05-14,11,801.52,173.9,8816.72,15,157,3,282,4.3,59,6,1,1,5,2023,0.075,1605,767.15,0.94,54.01,690.15,0.11,41.42,798.09,0.29,68.78,748.67
323527,kitchen,2023-11-05,13,582.55,128.98,7573.15,16,43,2,4043,4.0,53,6,1,0,11,2023,0.376,6932,603.85,0.13,81.35,652.75,0.84,76.51,672.31,0.24,144.56,634.03
377499,beauty,2023-06-28,15,380.73,88.84,5710.95,8,200,5,2910,1.0,78,2,0,0,6,2023,0.241,6154,441.13,0.83,108.38,396.5,0.33,46.45,407.26,0.77,20.9,372.89
444189,fashion,2022-09-25,13,164.43,23.95,2137.59,13,125,5,3482,4.5,70,6,1,0,9,2022,0.306,6222,185.62,0.33,45.99,168.82,0.77,28.59,173.9,0.06,39.57,166.46
214548,electronics,2023-12-08,7,379.23,78.71,2654.61,17,37,3,861,2.6,65,4,0,0,12,2023,0.342,3705,362.44,0.57,55.67,333.71,0.63,30.54,352.05,0.28,36.08,402.76
736373,fashion,2022-10-27,12,319.2,28.41,3830.4,13,104,4,4615,3.9,27,3,0,0,10,2022,0.397,6920,348.24,0.84,34.65,357.86,0.28,55.95,337.91,0.7,33.07,341.71
595215,furniture,2022-08-26,13,786.92,134.27,10229.96,20,66,1,4062,3.9,6,4,0,0,8,2022,0.519,2413,669.34,0.05,111.58,694.45,0.85,170.82,718.57,0.21,36.94,787.88
846341,fashion,2023-10-24,17,453.45,55.2,7708.65,7,246,5,2494,1.7,1,1,0,0,10,2023,0.009,3976,438.23,0.68,64.72,420.64,0.84,24.69,439.56,0.12,53.63,457.51
734524,furniture,2022-09-28,10,226.79,38.38,2267.9,8,229,2,4504,3.1,62,2,0,0,9,2022,0.298,5273,259.42,0.15,15.18,257.77,0.17,38.84,239.17,0.98,16.21,222.69
234139,furniture,2022-02-25,10,281.26,52.06,2812.6,11,44,5,800,4.7,72,4,0,1,2,2022,0.264,3635,253.96,0.72,62.94,307.25,0.12,23.86,243.54,0.57,21.17,255.92
162938,toys,2022-12-09,10,148.73,17.76,1487.3,11,151,5,1532,2.1,52,4,0,0,12,2022,0.236,6001,144.82,0.16,16.72,131.24,0.6,21.85,142.63,0.27,26.77,153.12
480527,electronics,2023-08-04,3,829.17,77.32,2487.51,21,21,1,337,3.9,57,4,0,0,8,2023,0.789,906,705.1,0.02,91.56,726.24,0.23,71.3,730.48,0.15,97.2,858.56
533010,sports,2022-05-19,2,73.8,8.44,147.6,22,125,1,905,4.8,8,3,0,0,5,2022,0.251,3206,63.33,0.16,9.67,73.23,0.33,16.88,66.96,0.01,3.49,73.4
316224,beauty,2022-12-04,1,41.18,7.53,41.18,14,55,4,4223,2.4,45,6,1,0,12,2022,0.151,5843,37.11,0.63,8.39,43.7,0.94,4.96,40.08,0.75,4.54,37.46
803989,sports,2022-04-05,13,189.2,35.07,2459.6,15,191,5,2107,2.6,48,1,0,0,4,2022,0.852,1438,167.57,0.99,35.16,177.16,0.18,42.81,206.7,0.36,10.59,191.69
623423,toys,2023-05-17,8,735.46,145.81,5883.68,10,36,4,3262,2.8,13,2,0,0,5,2023,0.383,2818,751.2,0.97,68.44,775.77,0.47,39.43,693.98,0.19,161.72,677.08
773190,electronics,2022-12-14,17,485.42,36.56,8252.14,15,227,1,4419,4.2,60,2,0,0,12,2022,0.184,6961,565.52,0.75,109.31,473.67,0.29,102.51,416.02,0.9,92.4,480.96
198109,fashion,2022-08-30,14,574.48,122.77,8042.72,19,73,4,3843,2.8,27,1,0,0,8,2022,0.751,4371,505.33,0.82,113.66,606.66,0.35,62.08,568.54,0.7,68.6,608.77
833564,furniture,2022-06-15,3,341.23,64.02,1023.69,19,80,2,2059,2.9,16,2,0,0,6,2022,0.657,2641,393.93,0.87,75.97,376.69,0.37,34.02,316.44,0.81,31.04,322.6
285481,sports,2023-02-17,2,89.75,5.04,179.5,24,223,5,1806,1.9,55,4,0,0,2,2023,0.945,2669,97.28,0.53,7.57,102.77,0.26,23.31,100.74,0.66,7.19,97.27
503416,sports,2023-05-04,7,774.86,90.75,5424.02,16,227,5,630,5.0,35,3,0,0,5,2023,0.878,1597,704.44,0.23,111.15,711.74,0.76,78.91,881.55,0.92,168.41,807.14
495433,toys,2023-11-18,18,196.95,28.23,3545.1,11,42,4,4165,4.6,43,5,1,0,11,2023,0.694,5196,187.38,0.66,40.79,173.28,0.81,28.9,213.66,0.34,15.83,187.4
838500,fashion,2022-11-16,1,58.76,7.18,58.76,6,44,3,4924,3.4,43,2,0,0,11,2022,0.161,902,53.94,0.14,4.81,52.38,0.54,10.34,62.55,0.16,11.5,55.58
349161,furniture,2022-04-28,4,528.25,38.82,2113.0,18,216,2,2550,4.8,50,3,0,1,4,2022,0.483,1614,594.94,0.83,93.83,479.59,0.9,64.19,584.1,0.01,59.39,483.31
316677,toys,2023-08-31,1,102.46,9.37,102.46,21,244,5,2548,3.7,33,3,0,0,8,2023,0.119,1042,113.09,0.41,20.8,98.72,0.14,6.94,100.57,0.03,19.7,110.12
405664,sports,2023-04-05,8,113.31,6.22,906.48,16,132,1,4257,4.8,65,2,0,0,4,2023,0.549,5326,108.39,0.27,19.19,97.45,0.51,22.85,122.14,0.85,15.71,103.41
424729,beauty,2023-05-27,19,726.33,49.84,13800.27,23,57,1,1777,1.6,70,5,1,0,5,2023,0.917,6612,631.19,0.84,45.02,829.02,0.83,148.81,724.08,0.61,56.02,744.68
263516,kitchen,2022-03-12,13,457.7,47.26,5950.1,11,55,1,2092,1.9,39,5,1,0,3,2022,0.004,792,416.08,0.11,43.89,525.06,0.62,119.97,457.9,0.05,48.3,480.72
258719,kitchen,2022-08-17,10,240.11,51.38,2401.1,6,81,3,4478,4.5,14,2,0,0,8,2022,0.876,6637,257.03,0.97,41.23,264.03,0.99,53.74,270.38,0.11,50.83,228.35
308204,fashion,2023-07-15,3,333.3,51.77,999.9,17,177,1,1958,2.7,23,5,1,0,7,2023,0.539,6431,293.85,0.95,26.96,324.89,0.6,66.54,375.59,0.7,70.24,325.33
520735,beauty,2023-08-31,7,664.44,89.63,4651.08,7,42,3,4644,2.5,61,3,0,0,8,2023,0.151,3653,689.53,0.61,80.5,729.13,0.96,122.48,657.9,0.38,111.48,637.04
409019,furniture,2022-11-14,10,87.73,16.0,877.3,6,167,1,890,4.0,21,0,0,0,11,2022,0.856,451,93.39,0.71,12.42,92.21,0.1,4.72,103.35,0.77,11.85,93.02
452853,toys,2023-08-11,6,131.34,20.79,788.04,19,204,5,2534,3.5,62,4,0,0,8,2023,0.537,4906,143.25,0.04,7.55,142.09,0.04,32.19,136.53,0.94,24.17,144.35
747149,furniture,2023-09-07,14,566.15,43.2,7926.1,13,53,3,2499,2.4,53,3,0,0,9,2023,0.448,3767,506.07,0.44,76.97,498.64,0.36,107.8,577.76,0.76,33.77,619.44
316834,kitchen,2022-10-10,19,558.07,52.75,10603.33,17,246,1,1602,2.6,36,0,0,0,10,2022,0.5,5861,564.15,0.88,140.45,645.21,0.84,126.08,572.32,0.18,97.78,510.02
918902,fashion,2023-10-18,4,876.04,82.79,3504.16,19,247,4,4818,2.6,10,2,0,0,10,2023,0.147,2205,886.72,0.01,116.74,851.54,0.05,192.13,983.6,0.65,202.87,907.2
776601,sports,2022-07-30,5,355.86,60.49,1779.3,12,88,2,2464,1.5,43,5,1,0,7,2022,0.113,3990,406.52,0.29,42.63,336.01,0.25,29.18,422.99,0.6,32.84,361.91
257218,sports,2022-06-24,3,86.62,12.33,259.86,17,45,2,4407,1.9,55,4,0,0,6,2022,0.662,6264,87.84,0.35,8.84,85.48,0.99,9.09,94.55,0.85,20.17,94.07
382461,toys,2023-05-14,14,497.66,63.46,6967.24,15,94,4,1174,3.2,13,6,1,1,5,2023,0.88,4735,493.87,0.68,75.58,466.09,0.64,37.95,482.46,0.2,111.45,505.42
265196,beauty,2023-04-10,9,585.36,94.43,5268.24,16,79,5,1809,4.1,66,0,0,0,4,2023,0.694,4594,522.85,0.7,73.83,701.24,0.39,125.75,603.44,0.72,145.91,580.38
345523,furniture,2022-04-13,6,151.45,36.96,908.7,19,84,5,2443,2.7,16,2,0,0,4,2022,0.841,6775,165.54,0.07,36.82,162.99,0.08,22.44,145.02,0.6,8.12,149.9
428946,furniture,2023-08-31,5,510.99,57.66,2554.95,12,232,3,2863,2.5,33,3,0,0,8,2023,0.845,3529,545.19,0.22,96.96,594.66,0.76,41.94,551.25,0.48,126.31,547.13
217801,toys,2022-05-26,2,202.06,31.13,404.12,15,55,5,1224,3.6,43,3,0,0,5,2022,0.032,1373,222.45,0.83,28.86,239.01,0.93,39.47,242.42,0.29,15.2,209.02
112990,kitchen,2023-08-11,10,764.92,111.73,7649.2,16,92,2,1634,1.6,59,4,0,0,8,2023,0.771,6838,825.88,0.19,105.01,805.79,0.74,94.92,881.74,0.03,111.0,699.76
494939,electronics,2022-01-06,13,756.59,146.27,9835.67,7,201,5,3148,2.5,18,3,0,0,1,2022,0.772,1143,874.88,0.29,139.49,855.08,0.12,126.64,768.29,0.81,122.68,822.19
730891,beauty,2023-08-05,5,403.78,79.16,2018.9,9,33,5,1464,1.8,27,5,1,0,8,2023,0.35,3947,467.2,0.16,47.03,471.15,0.53,48.19,391.57,0.11,36.94,418.21
372667,sports,2023-07-29,1,871.07,170.57,871.07,6,33,3,3823,3.6,64,5,1,0,7,2023,0.41,5320,834.21,0.75,112.26,786.14,0.4,64.64,878.44,0.38,104.46,810.97
874410,electronics,2023-07-24,9,882.4,79.68,7941.6,8,89,3,2437,1.4,27,0,0,0,7,2023,0.745,5552,806.38,0.03,86.29,833.17,0.9,116.78,847.71,0.5,196.34,876.99
432345,beauty,2023-05-01,13,142.45,19.92,1851.85,13,242,3,4850,2.8,49,0,0,1,5,2023,0.987,4982,167.27,0.3,25.61,141.11,0.76,13.44,170.52,0.33,14.5,135.35
910716,sports,2022-12-11,7,349.91,74.26,2449.37,23,213,1,1264,3.4,32,6,1,0,12,2022,0.988,3092,384.75,0.53,61.3,373.7,0.8,48.96,322.15,0.66,50.82,356.3
312397,sports,2023-05-30,5,552.28,69.76,2761.4,23,233,5,4228,4.3,5,1,0,0,5,2023,0.474,1464,657.13,0.01,144.15,617.95,0.41,78.14,625.96,0.33,134.83,558.49
585399,toys,2022-07-22,3,103.81,25.63,311.43,20,218,4,2501,3.9,41,4,0,0,7,2022,0.79,460,106.29,0.95,10.65,100.77,0.02,23.99,103.29,0.52,10.15,113.57
786839,kitchen,2023-07-24,15,362.91,44.62,5443.65,16,47,5,522,4.8,29,0,0,0,7,2023,0.466,2256,430.7,0.87,99.47,415.51,0.76,36.3,391.25,0.1,92.73,330.62
153135,kitchen,2023-02-10,17,257.22,38.46,4372.74,9,112,1,3555,3.7,21,4,0,0,2,2023,0.866,6809,229.69,0.65,36.07,277.55,0.63,29.78,301.72,0.43,74.23,254.66
937002,sports,2022-12-02,15,858.28,124.37,12874.2,12,141,5,1136,2.4,68,4,0,0,12,2022,0.65,4859,906.88,0.44,177.17,841.29,0.14,175.3,907.4,0.58,93.66,803.85
428462,furniture,2023-01-05,10,388.08,53.06,3880.8,20,58,2,778,1.9,62,3,0,0,1,2023,0.937,2967,397.34,0.16,68.48,422.33,0.76,46.11,413.65,0.86,59.81,350.98
548138,furniture,2023-02-20,14,693.52,151.97,9709.28,23,248,5,2705,1.2,22,0,0,0,2,2023,0.997,3561,590.13,0.55,127.35,796.31,0.15,116.3,598.23,0.18,31.25,732.1
665594,beauty,2022-01-28,8,366.43,29.7,2931.44,24,158,5,3950,2.1,42,4,0,0,1,2022,0.33,2472,336.2,0.24,61.4,354.55,0.74,71.76,327.99,0.34,79.42,385.31
678697,furniture,2022-04-13,1,144.68,23.66,144.68,12,216,5,1362,1.5,57,2,0,0,4,2022,0.979,6275,130.75,0.64,6.83,142.57,0.71,7.25,150.35,0.26,11.65,157.24
121301,kitchen,2022-06-29,7,780.94,135.67,5466.58,14,79,5,3152,2.5,5,2,0,0,6,2022,0.693,3283,680.42,0.15,87.13,852.9,0.01,205.81,765.11,0.15,103.72,794.73
880454,furniture,2022-03-25,14,30.36,6.69,425.04,15,184,1,170,3.8,8,4,0,0,3,2022,0.238,5892,35.88,0.72,8.53,30.37,0.77,4.33,32.28,0.39,5.96,28.88
661243,furniture,2022-11-17,13,78.67,13.52,1022.71,6,44,2,1004,3.8,43,3,0,0,11,2022,0.003,547,93.45,0.32,13.11,71.76,0.41,14.49,77.45,0.91,13.95,76.51
998945,sports,2023-05-03,19,347.01,83.98,6593.19,7,25,2,3798,2.3,74,2,0,0,5,2023,0.684,3512,403.26,0.5,86.97,398.7,0.51,93.36,316.21,0.37,57.08,354.27
524361,beauty,2023-04-23,19,627.6,140.85,11924.4,5,167,3,163,3.0,74,6,1,0,4,2023,0.222,4300,750.68,0.16,168.0,577.73,0.96,130.2,708.48,0.27,37.85,643.77
652164,kitchen,2022-12-10,5,327.28,39.19,1636.4,19,35,5,1853,1.9,36,5,1,0,12,2022,0.231,4734,373.34,0.26,43.5,306.41,0.92,28.83,375.0,0.96,73.81,297.34
496956,electronics,2023-09-17,1,87.69,19.47,87.69,9,83,4,2588,3.0,56,6,1,0,9,2023,0.552,361,103.15,0.45,22.85,101.17,0.38,16.29,104.25,0.72,20.77,94.89
900800,furniture,2023-02-17,6,306.52,74.08,1839.12,19,202,3,423,3.0,39,4,0,0,2,2023,0.031,4575,281.74,0.46,35.35,329.41,0.71,43.53,282.08,0.37,44.87,332.64
849147,furniture,2022-02-27,17,243.13,24.66,4133.21,12,134,5,4894,2.2,72,6,1,0,2,2022,0.416,5907,228.52,1.0,12.59,243.39,0.51,38.08,233.16,0.75,45.76,257.65
917746,toys,2023-07-13,16,34.72,5.97,555.52,20,106,1,2593,2.0,46,3,0,0,7,2023,0.799,826,39.99,0.34,7.55,34.15,0.82,7.03,32.92,0.64,1.65,32.98
553852,fashion,2023-02-24,2,495.28,52.68,990.56,7,86,4,1759,4.9,71,4,0,0,2,2023,0.027,2449,504.1,0.08,107.91,452.75,0.32,54.74,582.22,0.85,48.47,480.23
812305,fashion,2023-04-09,4,131.48,23.66,525.92,11,173,3,4888,3.1,29,6,1,0,4,2023,0.624,3094,144.75,0.52,20.31,114.88,0.47,16.71,139.25,0.11,9.03,136.8
422914,electronics,2023-02-17,11,280.12,19.25,3081.32,9,239,2,2836,3.2,74,4,0,0,2,2023,0.158,1929,293.19,0.32,24.83,327.26,0.11,56.16,328.54,0.54,36.99,269.24
514837,kitchen,2023-02-09,13,587.84,115.71,7641.92,13,190,4,3424,1.0,58,3,0,0,2,2023,0.863,3191,562.55,0.88,97.35,508.87,0.93,52.98,682.84,0.7,61.95,574.64
784195,toys,2022-03-08,19,660.85,88.53,12556.15,16,102,5,542,1.7,61,1,0,0,3,2022,0.391,6273,627.6,0.21,124.05,575.99,0.9,98.68,618.46,1.0,53.94,683.09
173038,fashion,2023-02-13,15,259.21,43.41,3888.15,8,117,5,877,2.4,2,0,0,0,2,2023,0.812,6302,288.21,0.86,52.16,288.56,0.28,23.02,259.14,0.6,34.7,235.05
739440,sports,2023-08-04,5,316.4,17.46,1582.0,18,43,5,321,4.9,64,4,0,0,8,2023,0.724,4288,327.86,0.66,39.72,367.91,0.58,64.14,314.74,0.14,54.99,293.48
